dataset,algorithm,parameter,metric,variance,std_dev,range,mean,min,max,cv,n_values
har_smartphone,logistic_regression,penalty,precision,2.2580989755496698e-05,0.004751945891474007,0.006720266327385649,0.9527379086382965,0.9493777754746038,0.9560980418019894,0.004987673785611974,2
har_smartphone,logistic_regression,penalty,recall,2.302871600285054e-05,0.004798824439677965,0.0067865626060400475,0.9501187648456058,0.9467254835425857,0.9535120461486257,0.005050762722761058,2
har_smartphone,logistic_regression,penalty,f1,2.2196000952407457e-05,0.0047112632013513595,0.006662732315260378,0.9501760672098745,0.9468447010522443,0.9535074333675047,0.004958305480357608,2
heart,decision_tree,criterion,accuracy,0.00017146776406035613,0.013094570021973083,0.01851851851851849,0.8055555555555556,0.7962962962962963,0.8148148148148148,0.016255328303139,2
heart,decision_tree,criterion,precision,0.0004058408616813199,0.02014549234149714,0.028490028490028574,0.754985754985755,0.7407407407407407,0.7692307692307693,0.026683274761756588,2
heart,decision_tree,criterion,recall,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,2
heart,decision_tree,criterion,f1,0.00012302960399846298,0.011091871077436078,0.015686274509803977,0.7921568627450981,0.7843137254901961,0.8,0.014002114478941582,2
heart,decision_tree,max_depth,accuracy,0.0004367915673958559,0.02089955902395684,0.11111111111111116,0.7907407407407406,0.7222222222222222,0.8333333333333334,0.026430355674324814,20
heart,decision_tree,max_depth,precision,0.0014668663198432064,0.038299690858324256,0.23030303030303034,0.7408908524425766,0.6363636363636364,0.8666666666666667,0.05169410680676842,20
heart,decision_tree,max_depth,recall,0.004911366959064331,0.07008114553190702,0.375,0.8229166666666667,0.5416666666666666,0.9166666666666666,0.085161898367887,20
heart,decision_tree,max_depth,f1,0.0009346952862212153,0.030572786693744736,0.16352201257861643,0.776381705137941,0.6666666666666666,0.8301886792452831,0.039378551157787545,20
heart,decision_tree,min_samples_leaf,accuracy,0.0005153057540971774,0.022700347003893517,0.07407407407407407,0.836111111111111,0.7777777777777778,0.8518518518518519,0.027149916682397565,20
heart,decision_tree,min_samples_leaf,precision,0.00124878473204057,0.035338148395757385,0.13333333333333341,0.7906654337388972,0.7,0.8333333333333334,0.04469418655201659,20
heart,decision_tree,min_samples_leaf,recall,0.0018457602339181272,0.04296231178507655,0.16666666666666663,0.8625,0.75,0.9166666666666666,0.04981137598269744,20
heart,decision_tree,min_samples_leaf,f1,0.0005416740650792124,0.023273892349136883,0.06837606837606836,0.8238381507854579,0.7777777777777778,0.8461538461538461,0.028250563932912375,20
heart,decision_tree,min_samples_split,accuracy,7.821336606261858e-05,0.00884383209149849,0.01851851851851849,0.790448343079922,0.7777777777777778,0.7962962962962963,0.01118837450786369,19
heart,decision_tree,min_samples_split,precision,4.9718913173184294e-05,0.007051163958750661,0.016602809706257937,0.7314750182263792,0.7241379310344828,0.7407407407407407,0.009639651092730067,19
heart,decision_tree,min_samples_split,recall,0.0012487816764132568,0.03533810516161353,0.08333333333333337,0.8355263157894737,0.7916666666666666,0.875,0.04229442507531698,19
heart,decision_tree,min_samples_split,f1,0.0001997010872125006,0.014131563509127382,0.03245283018867928,0.7796343244348386,0.76,0.7924528301886793,0.01812588679875201,19
heart,knn,k,accuracy,0.00039666209419295887,0.019916377536915664,0.09259259259259256,0.8266666666666665,0.7777777777777778,0.8703703703703703,0.024092392181752822,25
heart,knn,k,precision,0.0010587168925128572,0.032537930058822995,0.12586206896551722,0.7851735465600533,0.7241379310344828,0.85,0.0414404308466273,25
heart,knn,k,recall,0.001921296296296296,0.04383259399460972,0.16666666666666663,0.8433333333333333,0.7083333333333334,0.875,0.0519754078987467,25
heart,knn,k,f1,0.0004965576453818579,0.022283573442826846,0.1071428571428571,0.8120053945400142,0.75,0.8571428571428571,0.027442642121177127,25
heart,knn,metric,accuracy,0.0010288065843621409,0.03207501495497923,0.05555555555555558,0.8518518518518517,0.8148148148148148,0.8703703703703703,0.0376532784254104,3
heart,knn,metric,precision,0.00015867768595041206,0.012596733145955425,0.021818181818181737,0.8327272727272726,0.8181818181818182,0.84,0.015127081288811102,3
heart,knn,metric,recall,0.005208333333333334,0.07216878364870323,0.125,0.8333333333333334,0.75,0.875,0.08660254037844388,3
heart,knn,metric,f1,0.0018517804097064115,0.043032318200468954,0.07453416149068315,0.8322981366459627,0.782608695652174,0.8571428571428571,0.051703009181160456,3
heart,knn,weights,accuracy,0.00017146776406035613,0.013094570021973083,0.01851851851851849,0.8611111111111112,0.8518518518518519,0.8703703703703703,0.015206597444871966,2
heart,knn,weights,precision,0.0014734693877551013,0.038385796692983996,0.05428571428571427,0.8128571428571428,0.7857142857142857,0.84,0.04722329997379402,2
heart,knn,weights,recall,0.000868055555555554,0.029462782549439452,0.04166666666666663,0.8958333333333333,0.875,0.9166666666666666,0.032888687497048694,2
heart,knn,weights,f1,6.037918125830171e-05,0.0077704041888631325,0.01098901098901095,0.8516483516483516,0.8461538461538461,0.8571428571428571,0.009123958466923163,2
heart,logistic_regression,C,accuracy,0.0028006401463191596,0.05292107468976003,0.12962962962962965,0.8302469135802469,0.7222222222222222,0.8518518518518519,0.06374136877130948,6
heart,logistic_regression,C,precision,0.002523222328417134,0.05023168649783853,0.12337662337662336,0.8142135642135643,0.7857142857142857,0.9090909090909091,0.061693502424460964,6
heart,logistic_regression,C,recall,0.040046296296296295,0.20011570727030972,0.49999999999999994,0.8194444444444443,0.4166666666666667,0.9166666666666666,0.2442089987027509,6
heart,logistic_regression,C,f1,0.012371582426527486,0.11122761539531217,0.27472527472527475,0.7982295482295482,0.5714285714285714,0.8461538461538461,0.1393428940860584,6
heart,logistic_regression,C,auc,5.5877057613169105e-05,0.007475095826353606,0.01666666666666672,0.8997685185185186,0.8916666666666666,0.9083333333333333,0.0083077988088108,6
heart,logistic_regression,penalty,accuracy,1.8488927466117464e-32,1.3597399555105182e-16,0.0,0.8518518518518517,0.8518518518518519,0.8518518518518519,1.5962164695123477e-16,3
heart,logistic_regression,penalty,precision,0.0,0.0,0.0,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.0,3
heart,logistic_regression,penalty,recall,0.0,0.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,3
heart,logistic_regression,penalty,f1,0.0,0.0,0.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.0,3
heart,logistic_regression,penalty,auc,6.430041152263843e-07,0.0008018753738745094,0.001388888888888995,0.899074074074074,0.898611111111111,0.9,0.0008918902201693823,3
heart,svm,C,accuracy,0.01358677901887778,0.11656233962510266,0.2777777777777778,0.7142857142857143,0.5555555555555556,0.8333333333333334,0.16318727547514372,7
heart,svm,C,precision,0.13031149689243327,0.36098683756119593,0.8260869565217391,0.5209147562970651,0.0,0.8260869565217391,0.6929863921062237,7
heart,svm,C,recall,0.15591931216931218,0.3948661952729205,0.8333333333333334,0.5773809523809524,0.0,0.8333333333333334,0.6838919670706252,7
heart,svm,C,f1,0.14081984815215054,0.3752597076054803,0.8085106382978723,0.5466838039912874,0.0,0.8085106382978723,0.686429165937868,7
heart,svm,kernel,accuracy,0.00031435756744398793,0.01773013162511739,0.03703703703703709,0.8379629629629629,0.8148148148148148,0.8518518518518519,0.021158610116162192,4
heart,svm,kernel,precision,0.000401782453064504,0.02004451179411721,0.038461538461538436,0.7905982905982907,0.7692307692307693,0.8076923076923077,0.02535359870174825,4
heart,svm,kernel,recall,0.00043402777777777694,0.020833333333333315,0.04166666666666663,0.8645833333333334,0.8333333333333334,0.875,0.02409638554216865,4
heart,svm,kernel,f1,0.0003580161476355235,0.018921314638140858,0.039999999999999925,0.8258823529411765,0.8,0.84,0.02291042370715061,4
mammogram,decision_tree,criterion,accuracy,2.610488944579328e-05,0.005109294417607315,0.008849557522123908,0.616519174041298,0.6106194690265486,0.6194690265486725,0.008287324438128612,3
mammogram,decision_tree,criterion,precision,2.002434960912455e-06,0.001415074189190254,0.002450980392156854,0.6266339869281046,0.625,0.6274509803921569,0.0022582148729711486,3
mammogram,decision_tree,criterion,recall,0.0004251700680272105,0.020619652471058052,0.0357142857142857,0.5595238095238095,0.5357142857142857,0.5714285714285714,0.036852144841890984,3
mammogram,decision_tree,criterion,f1,0.00014992308743190592,0.012244308368866978,0.02120776419841841,0.5910615863886891,0.5769230769230769,0.5981308411214953,0.020715791130460938,3
mammogram,decision_tree,criterion,auc,7.360977632050419e-06,0.00271311216724455,0.00469924812030087,0.6271929824561403,0.6256265664160401,0.630325814536341,0.004325801217704597,3
mammogram,decision_tree,max_depth,accuracy,0.00453137372629894,0.06731547909878485,0.17699115044247793,0.6912487708947886,0.6106194690265486,0.7876106194690266,0.09738242139895333,9
mammogram,decision_tree,max_depth,precision,0.007806358063782772,0.08835359677898105,0.19499999999999995,0.7259863294320098,0.625,0.82,0.12170146075354654,9
mammogram,decision_tree,max_depth,recall,0.005084325396825396,0.07130445565899368,0.2142857142857142,0.6111111111111112,0.5178571428571429,0.7321428571428571,0.11668001835108056,9
mammogram,decision_tree,max_depth,f1,0.0051975919633022154,0.07209432684547526,0.20495745467998527,0.6624059148027226,0.5686274509803921,0.7735849056603774,0.10883708196800501,9
mammogram,decision_tree,max_depth,auc,0.005351008163858545,0.07315058553325834,0.17481203007518797,0.7071498189919242,0.6203007518796992,0.7951127819548872,0.10344425405855014,9
mammogram,decision_tree,min_samples_leaf,accuracy,0.006121596575038508,0.07824063250663627,0.19469026548672574,0.7271386430678466,0.6106194690265486,0.8053097345132744,0.10760070758519145,6
mammogram,decision_tree,min_samples_leaf,precision,0.006136274005234926,0.0783343730761594,0.20192307692307687,0.7434071236831814,0.625,0.8269230769230769,0.10537210443727633,6
mammogram,decision_tree,min_samples_leaf,recall,0.011405187074829933,0.10679507046128081,0.2321428571428572,0.6815476190476191,0.5357142857142857,0.7678571428571429,0.1566949505458094,6
mammogram,decision_tree,min_samples_leaf,f1,0.00848022347249593,0.09208812883589247,0.2193732193732194,0.7101574776071504,0.5769230769230769,0.7962962962962963,0.12967282854808493,6
mammogram,decision_tree,min_samples_leaf,auc,0.005867717441316314,0.0766010276779386,0.19830827067669154,0.7610432330827068,0.630325814536341,0.8286340852130325,0.10065266248759082,6
mammogram,decision_tree,min_samples_split,accuracy,0.005012138773592296,0.07079646017699116,0.17699115044247793,0.7079646017699114,0.6106194690265486,0.7876106194690266,0.10000000000000003,6
mammogram,decision_tree,min_samples_split,precision,0.005505266404442425,0.07419748246701113,0.19499999999999995,0.7231167279048635,0.625,0.82,0.1026078910966265,6
mammogram,decision_tree,min_samples_split,recall,0.009874574829931971,0.09937089528595368,0.1964285714285714,0.6636904761904762,0.5357142857142857,0.7321428571428571,0.14972475702278223,6
mammogram,decision_tree,min_samples_split,f1,0.00701484039911857,0.08375464404508308,0.19666182873730054,0.6906930257490825,0.5769230769230769,0.7735849056603774,0.12126174859554724,6
mammogram,decision_tree,min_samples_split,auc,0.004638345845032374,0.06810540246582773,0.18029448621553879,0.7342575187969924,0.630325814536341,0.8106203007518797,0.09275410972626011,6
mammogram,knn,distance_metric,accuracy,0.0006265173466990348,0.025030328537576862,0.03539823008849552,0.7345132743362832,0.7168141592920354,0.7522123893805309,0.03407743523790585,2
mammogram,knn,distance_metric,precision,0.0006858710562414286,0.026189140043946242,0.03703703703703709,0.7407407407407407,0.7222222222222222,0.7592592592592593,0.03535533905932743,2
mammogram,knn,distance_metric,recall,0.0006377551020408157,0.025253813613805257,0.0357142857142857,0.7142857142857142,0.6964285714285714,0.7321428571428571,0.03535533905932736,2
mammogram,knn,distance_metric,f1,0.0006611570247933889,0.02571297386132901,0.036363636363636376,0.7272727272727273,0.7090909090909091,0.7454545454545455,0.03535533905932739,2
mammogram,knn,distance_metric,auc,1.4182150237749725e-05,0.0037659195739885,0.005325814536340845,0.774279448621554,0.7716165413533835,0.7769423558897244,0.0048637731257015135,2
mammogram,knn,n_neighbors,accuracy,0.0016987163513907967,0.041215486790656695,0.1504424778761062,0.7337087691069992,0.6283185840707964,0.7787610619469026,0.05617417772016038,11
mammogram,knn,n_neighbors,precision,0.0014608981262986848,0.03822169706199196,0.1346153846153847,0.7278133724286363,0.6346153846153846,0.7692307692307693,0.05251579389706759,11
mammogram,knn,n_neighbors,recall,0.004609230055658627,0.06789131060495611,0.2321428571428571,0.7386363636363636,0.5892857142857143,0.8214285714285714,0.09191438974209443,11
mammogram,knn,n_neighbors,f1,0.0022726046479558935,0.04767184334547903,0.17521367521367515,0.732283085589901,0.6111111111111112,0.7863247863247863,0.06510029288342269,11
mammogram,knn,n_neighbors,auc,0.00388526541419052,0.062331897245234885,0.2069235588972429,0.788818637502848,0.6279761904761906,0.8348997493734335,0.07901930086560593,11
mammogram,knn,weights,accuracy,0.0009789333542172432,0.0312879106719711,0.04424778761061943,0.6946902654867257,0.672566371681416,0.7168141592920354,0.04503864848321954,2
mammogram,knn,weights,precision,0.0015432098765432113,0.039283710065919325,0.05555555555555558,0.6944444444444444,0.6666666666666666,0.7222222222222222,0.05656854249492383,2
mammogram,knn,weights,recall,0.00015943877551020296,0.01262690680690259,0.017857142857142794,0.6875,0.6785714285714286,0.6964285714285714,0.01836640990094922,2
mammogram,knn,weights,f1,0.0006670209164887315,0.02582674808195433,0.03652453740949313,0.6908286403861625,0.672566371681416,0.7090909090909091,0.037385172779631104,2
